               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11421,            0.015511,            0.026417,           0.0014023,            0.074074,          0.00053836,          0.00011046,            0.028419,           0.0073853,           0.0070077,           0.0032456,           0.0032456,            0.070789
                   1,            0.087949,            0.015653,            0.016432,            0.025195,            0.082185,           0.0081806,           0.0017322,            0.028092,           0.0047583,            0.002849,           0.0063618,           0.0063618,            0.040572
                   2,            0.076892,            0.014494,            0.010418,             0.53061,            0.048387,            0.011132,           0.0016569,            0.021215,           0.0049164,           0.0014478,           0.0092581,           0.0092581,            0.010135
                   3,            0.067513,            0.014676,           0.0066521,            0.075397,               0.125,            0.048151,             0.01769,             0.02104,           0.0042556,          0.00094936,             0.00901,             0.00901,             0.00901
                   4,            0.059061,            0.014431,           0.0055889,            0.090876,             0.31657,            0.070422,            0.021097,            0.015939,           0.0043607,           0.0012335,             0.00901,             0.00901,             0.00901
                   5,            0.054395,            0.012438,             0.00442,              0.1531,             0.25572,             0.10548,            0.025628,            0.015642,            0.003987,          0.00090086,             0.00868,             0.00868,             0.00868
                   6,            0.047323,            0.011003,           0.0034655,              0.1254,             0.66078,             0.11626,            0.038969,            0.014157,           0.0041244,           0.0008806,             0.00835,             0.00835,             0.00835
                   7,            0.044453,            0.010645,           0.0029305,             0.15316,              0.6548,             0.14264,            0.064022,            0.012678,           0.0036464,          0.00065313,             0.00802,             0.00802,             0.00802
                   8,            0.039703,            0.010286,           0.0022848,             0.12424,             0.73152,             0.12962,            0.053775,            0.011569,           0.0038467,          0.00047834,             0.00769,             0.00769,             0.00769
                   9,            0.036594,           0.0095035,           0.0023943,             0.15434,             0.79544,             0.15531,            0.098236,           0.0098086,           0.0039983,          0.00057443,             0.00736,             0.00736,             0.00736
                  10,            0.037406,           0.0085323,           0.0024805,             0.14911,             0.81928,             0.15937,            0.094429,           0.0091812,           0.0041375,           0.0006383,             0.00703,             0.00703,             0.00703
                  11,            0.035226,           0.0085686,            0.001942,             0.15404,             0.86166,             0.16235,             0.10173,           0.0085756,           0.0032947,          0.00074531,              0.0067,              0.0067,              0.0067
                  12,            0.032265,           0.0082115,           0.0021042,             0.15668,             0.83087,             0.16421,            0.096346,           0.0082626,           0.0035555,          0.00062922,             0.00637,             0.00637,             0.00637
                  13,            0.031805,           0.0077934,           0.0020563,             0.15331,             0.83463,             0.15572,            0.091524,           0.0080771,           0.0033704,           0.0005481,             0.00604,             0.00604,             0.00604
                  14,            0.029478,           0.0074304,           0.0017602,             0.15589,             0.89751,             0.15996,             0.10244,            0.009101,           0.0037042,          0.00058418,             0.00571,             0.00571,             0.00571
                  15,            0.029156,           0.0073086,           0.0014924,             0.15565,             0.89399,             0.16333,             0.10949,           0.0068041,           0.0035949,          0.00058237,             0.00538,             0.00538,             0.00538
                  16,            0.028728,           0.0077609,           0.0015133,              0.1603,             0.80359,             0.16051,             0.10959,           0.0065745,           0.0039313,           0.0006109,             0.00505,             0.00505,             0.00505
                  17,            0.026051,           0.0070132,           0.0014276,             0.15788,             0.85823,             0.16402,             0.10183,           0.0076961,           0.0036991,          0.00070358,             0.00472,             0.00472,             0.00472
                  18,            0.025752,           0.0069695,           0.0014499,             0.15648,             0.91955,             0.16298,             0.10631,           0.0071283,           0.0038762,           0.0006891,             0.00439,             0.00439,             0.00439
                  19,            0.024213,           0.0065404,           0.0012739,             0.15607,             0.92351,             0.16419,             0.11721,           0.0059213,           0.0038569,          0.00044112,             0.00406,             0.00406,             0.00406
                  20,            0.023936,           0.0064207,           0.0012568,             0.15624,             0.89597,             0.15984,             0.11757,           0.0057587,           0.0038063,          0.00051778,             0.00373,             0.00373,             0.00373
                  21,            0.022101,           0.0067462,           0.0014001,              0.1575,             0.91921,             0.16269,             0.11667,           0.0055875,           0.0040899,          0.00057868,              0.0034,              0.0034,              0.0034
                  22,            0.021409,           0.0062014,           0.0011944,             0.15886,             0.90609,             0.16042,             0.12214,           0.0055569,           0.0043222,          0.00055623,             0.00307,             0.00307,             0.00307
                  23,            0.021566,           0.0062176,          0.00090721,             0.15949,             0.91569,             0.16347,             0.12411,           0.0048893,           0.0045172,          0.00055056,             0.00274,             0.00274,             0.00274
                  24,            0.019431,           0.0061782,          0.00078682,             0.15934,             0.94194,             0.16227,              0.1247,           0.0049104,           0.0049205,          0.00057555,             0.00241,             0.00241,             0.00241
                  25,            0.018266,           0.0055554,          0.00073476,             0.15948,             0.93739,             0.16103,             0.12552,           0.0047527,           0.0050506,          0.00053936,             0.00208,             0.00208,             0.00208
                  26,            0.017418,           0.0058859,          0.00097756,              0.1601,             0.94142,             0.16259,             0.12827,           0.0043985,           0.0050846,          0.00045725,             0.00175,             0.00175,             0.00175
                  27,            0.016661,           0.0057535,          0.00073442,             0.15977,             0.93686,             0.16194,             0.12966,           0.0044455,           0.0052778,          0.00041659,             0.00142,             0.00142,             0.00142
                  28,            0.016463,            0.005815,           0.0007327,             0.16121,             0.94142,             0.16434,              0.1313,           0.0042273,            0.005314,          0.00037833,             0.00109,             0.00109,             0.00109
                  29,            0.015519,           0.0056649,          0.00060766,             0.16053,             0.94142,              0.1624,             0.12815,           0.0040402,           0.0054652,          0.00033522,             0.00076,             0.00076,             0.00076
